/home/sdn/Desktop/2/application/nfv/www.click:37: While initializing 'fr_ext :: FromDevice':
  warning: s7-eth1: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/www.click:39: While initializing 'fr_int :: FromDevice':
  warning: s7-eth2: no IPv4 address assigned
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
